Longitud,Latitud,weighted_adjusted_score
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07738,50.62177,0.125
3.07738,50.62177,0.125
3.07738,50.62177,0.25
3.07738,50.62177,0.25
3.07738,50.62177,0.25
3.07738,50.62177,0.25
3.07738,50.62177,0.25
3.07738,50.62177,0.25
3.07738,50.62177,0.125
3.07738,50.62177,0.25
3.07738,50.62177,0.25
3.07738,50.62177,0.25
3.07738,50.62177,0.25
3.07738,50.62177,0.25
3.07738,50.62177,0.25
3.07738,50.62177,0.25
3.07738,50.62177,0.25
3.07738,50.62177,0.25
3.01569,50.6264,0.125
3.01569,50.6264,0.125
3.01569,50.6264,0.25
3.01569,50.6264,0.25
3.01569,50.6264,0.25
3.01569,50.6264,0.25
3.01569,50.6264,0.25
3.01569,50.6264,0.25
3.01569,50.6264,0.125
3.01569,50.6264,0.25
3.01569,50.6264,0.25
3.01569,50.6264,0.25
3.01569,50.6264,0.25
3.01569,50.6264,0.25
3.01569,50.6264,0.25
3.01569,50.6264,0.25
3.01569,50.6264,0.25
3.01569,50.6264,0.25
3.04593,50.62316,0.125
3.04593,50.62316,0.125
3.04593,50.62316,0.25
3.04593,50.62316,0.25
3.04593,50.62316,0.25
3.04593,50.62316,0.25
3.04593,50.62316,0.25
3.04593,50.62316,0.25
3.04593,50.62316,0.125
3.04593,50.62316,0.25
3.04593,50.62316,0.25
3.04593,50.62316,0.25
3.04593,50.62316,0.25
3.04593,50.62316,0.25
3.04593,50.62316,0.25
3.04593,50.62316,0.25
3.04593,50.62316,0.25
3.04593,50.62316,0.25
3.04349,50.62942,0.125
3.04349,50.62942,0.125
3.04349,50.62942,0.25
3.04349,50.62942,0.25
3.04349,50.62942,0.25
3.04349,50.62942,0.25
3.04349,50.62942,0.25
3.04349,50.62942,0.25
3.04349,50.62942,0.125
3.04349,50.62942,0.25
3.04349,50.62942,0.25
3.04349,50.62942,0.25
3.04349,50.62942,0.25
3.04349,50.62942,0.25
3.04349,50.62942,0.25
3.04349,50.62942,0.25
3.04349,50.62942,0.25
3.04349,50.62942,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.0037,50.64343,0.125
3.0037,50.64343,0.125
3.0037,50.64343,0.25
3.0037,50.64343,0.25
3.0037,50.64343,0.25
3.0037,50.64343,0.25
3.0037,50.64343,0.25
3.0037,50.64343,0.25
3.0037,50.64343,0.125
3.0037,50.64343,0.25
3.0037,50.64343,0.25
3.0037,50.64343,0.25
3.0037,50.64343,0.25
3.0037,50.64343,0.25
3.0037,50.64343,0.25
3.0037,50.64343,0.25
3.0037,50.64343,0.25
3.0037,50.64343,0.25
3.08744,50.6146,0.125
3.08744,50.6146,0.125
3.08744,50.6146,0.25
3.08744,50.6146,0.25
3.08744,50.6146,0.25
3.08744,50.6146,0.25
3.08744,50.6146,0.25
3.08744,50.6146,0.25
3.08744,50.6146,0.125
3.08744,50.6146,0.25
3.08744,50.6146,0.25
3.08744,50.6146,0.25
3.08744,50.6146,0.25
3.08744,50.6146,0.25
3.08744,50.6146,0.25
3.08744,50.6146,0.25
3.08744,50.6146,0.25
3.08744,50.6146,0.25
3.06439,50.61711,0.125
3.06439,50.61711,0.125
3.06439,50.61711,0.25
3.06439,50.61711,0.25
3.06439,50.61711,0.25
3.06439,50.61711,0.25
3.06439,50.61711,0.25
3.06439,50.61711,0.25
3.06439,50.61711,0.125
3.06439,50.61711,0.25
3.06439,50.61711,0.25
3.06439,50.61711,0.25
3.06439,50.61711,0.25
3.06439,50.61711,0.25
3.06439,50.61711,0.25
3.06439,50.61711,0.25
3.06439,50.61711,0.25
3.06439,50.61711,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
2.61534,48.93948,0.125
2.62541,48.93464,0.125
2.6317,48.93056,0.125
2.62299,48.93625,0.125
2.62549,48.93607,0.125
2.62155,48.94857,0.125
2.60869,48.92689,0.125
2.62288,48.93621,0.125
2.61534,48.93948,0.125
3.79444,49.80039,0.25
2.17512,48.80446,0.125
2.30091,48.9462,0.25
2.30091,48.9462,0.25
2.30091,48.9462,0.25
2.30091,48.9462,0.25
2.30091,48.9462,0.25
2.28924,48.94499,0.25
2.28924,48.94499,0.25
2.28924,48.94499,0.25
2.28924,48.94499,0.25
2.28924,48.94499,0.25
2.27328,48.94006,0.25
2.27328,48.94006,0.25
2.27328,48.94006,0.25
2.27328,48.94006,0.25
2.27328,48.94006,0.25
2.29417,48.94975,0.25
2.29417,48.94975,0.25
2.29417,48.94975,0.25
2.29417,48.94975,0.25
2.29417,48.94975,0.25
2.29619,48.93245,0.25
2.29619,48.93245,0.25
2.29619,48.93245,0.25
2.29619,48.93245,0.25
2.29619,48.93245,0.25
2.29884,48.94067,0.25
2.29884,48.94067,0.25
2.29884,48.94067,0.25
2.29884,48.94067,0.25
2.29884,48.94067,0.25
2.27615,48.94212,0.25
2.27615,48.94212,0.25
2.27615,48.94212,0.25
2.27615,48.94212,0.25
2.27615,48.94212,0.25
2.28304,48.94292,0.25
2.28304,48.94292,0.25
2.28304,48.94292,0.25
2.28304,48.94292,0.25
2.28304,48.94292,0.25
2.26733,48.93701,0.25
2.26733,48.93701,0.25
2.26733,48.93701,0.25
2.26733,48.93701,0.25
2.26733,48.93701,0.25
2.2642,48.94221,0.25
2.2642,48.94221,0.25
2.2642,48.94221,0.25
2.2642,48.94221,0.25
2.2642,48.94221,0.25
2.28962,48.94501,0.25
2.28962,48.94501,0.25
2.28962,48.94501,0.25
2.28962,48.94501,0.25
2.28962,48.94501,0.25
2.27787,48.94478,0.25
2.27787,48.94478,0.25
2.27787,48.94478,0.25
2.27787,48.94478,0.25
2.27787,48.94478,0.25
2.30704,48.92985,0.25
2.30704,48.92985,0.25
2.30704,48.92985,0.25
2.30704,48.92985,0.25
2.30704,48.92985,0.25
2.2599,48.9373,0.25
2.2599,48.9373,0.25
