nom site,indicator,Organisme,code zas,Zas,code site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
RN20 - MONTLHERY,0.8,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04180,Périurbaine,NO2,Trafic,Oui,mesures fixes,Max. journalier moy. hor.,92.1,92.1,µg-m3,100.0,100,100.0,A,1,48.64093,2.26872
RN6-MELUN,0.0,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04122,Périurbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,22.0,22.0125,µg-m3,100.0,100,100.0,A,1,48.528057,2.653611
TREMBLAY-EN-FRANCE,1.0,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04319,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,134.4,134.35,µg-m3,100.0,100,100.0,A,1,48.95555,2.575278
VILLEMOMBLE,1.0,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04100,Urbaine,NO2,Fond,Oui,mesures fixes,Max. journalier moy. hor.,121.6,121.55,µg-m3,100.0,100,100.0,A,1,48.881947,2.507222
VITRY-SUR-SEINE,0.75,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04034,Urbaine,NO2,Fond,Oui,mesures fixes,Max. journalier moy. hor.,43.9,43.85,µg-m3,100.0,100,100.0,A,1,48.775897,2.375788
Zone Rurale Est,1.0,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04324,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,148.6,148.6,µg-m3,100.0,100,100.0,A,1,48.761665,3.058333
Zone Rurale NO,0.625,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04158,Rurale régionale,PM10,Fond,Oui,mesures fixes,Moy. journalière,21.0,20.6208333333,µg-m3,100.0,100,100.0,A,1,49.063087,1.866381
Zone Rurale Nord,0.6944444444444444,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04048,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,56.0,56.0,µg-m3,100.0,100,100.0,A,1,49.100277,2.343889
Zone Rurale Nord-Est,1.0,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04142,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,108.7,108.65,µg-m3,100.0,100,100.0,R,1,49.028057,2.750278
Zone Rurale SE,1.0,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04328,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,100.5,100.45,µg-m3,100.0,100,100.0,A,1,48.3547,2.6453
