nom site,SOMO35 Subscore_x,Organisme,code zas,Zas,code site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
Aurillac-Lagarde,6124.0,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07052,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,76.3,76.3,µg-m3,100.0,100,100.0,R,1,44.92008,2.441082
Bourg-en-Bresse,7543.5,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR33305,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,71.3,71.275,µg-m3,100.0,100,100.0,A,1,46.211666,5.226389
Bourgoin-Jallieu,5540.9,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG01,ZAG LYON,FR27007,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,72.9,72.9,µg-m3,100.0,100,100.0,R,1,45.60822,5.270872
CHAMBERY LE HAUT,6763.7,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33102,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,61.8,61.8,µg-m3,100.0,100,100.0,R,1,45.59667,5.918611
CHAMONIX,3858.2,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR03,ZAR VALLEE-DE-L-ARVE,FR33120,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,6.4,6.4,µg-m3,100.0,100,100.0,A,1,45.9225,6.87
COTIERE AIN,6837.3,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG01,ZAG LYON,FR20047,Périurbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,71.9,71.875,µg-m3,100.0,100,100.0,A,1,45.823223,4.953958
Champ sur Drac,7187.8,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG02,ZAG GRENOBLE,FR15013,Périurbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,69.4,69.425,µg-m3,100.0,100,100.0,A,1,45.07954,5.728653
Drôme Rurale Sud-SND,6673.1,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR36021,Rurale nationale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,69.4,69.425,µg-m3,100.0,100,100.0,A,1,44.569443,5.278972
GAILLARD,6921.4,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33212,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,57.8,57.775,µg-m3,100.0,100,100.0,A,1,46.19369,6.214858
GERLAND,4755.0,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG01,ZAG LYON,FR20017,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,60.5,60.5,µg-m3,100.0,100,100.0,A,1,45.73529,4.829794
